x,y,z,cluster
2.406549178,-3.137063701,0.310051107,2
2.412374385,-3.192716995,0.469763115,2
2.414159291,-3.171819483,0.404792869,2
2.416112626,-3.178528284,0.422860121,2
2.417407117,-3.134823774,0.292924602,2
2.417553541,-3.147600577,0.328094382,2
2.418088703,-3.165223888,0.388170639,2
2.418690068,-3.216327226,0.53519938,2
2.426095121,-3.209321922,0.512218556,2
2.427614439,-3.157690993,0.365670575,2
2.434468539,-3.173748558,0.413518343,2
2.440604349,-3.185264094,0.450132638,2
2.444808073,-3.144211447,0.320189791,2
2.449021458,-3.188348885,0.450108966,2
2.450334058,-3.184650038,0.444729799,2
2.45137662,-3.144380081,0.320657684,2
2.453684106,-3.176623946,0.428596929,2
2.464705296,-3.221997954,0.551659527,2
2.473837948,-3.214789394,0.52232506,2
2.475759874,-3.137655665,0.307388031,2
2.480984915,-3.201552146,0.48224795,2
2.488292122,-3.161746563,0.37915153,2
2.488665916,-3.126585046,0.279989814,2
2.501008581,-3.157920166,0.36250545,2
2.514219545,-3.207243101,0.509979553,2
2.52171621,-3.198865663,0.481624948,2
2.533289857,-3.212176019,0.529942864,2
2.537548358,-3.220114876,0.540679859,2
2.535953379,-2.965362311,-0.006332467,1
2.702439531,-3.177397578,0.476137157,2
2.70272854,-3.167440737,0.429249977,2
2.703099269,-3.142618138,0.36769668,2
2.704217848,-3.147503818,0.404808613,2
2.704782483,-3.18761225,0.485418101,2
2.712383937,-3.211362899,0.522529006,2
2.7251856,-3.1809921,0.419914472,2
2.729083108,-3.160241464,0.370074621,2
2.732176015,-3.160820944,0.376901336,2
2.733546515,-3.190605381,0.455543594,2
2.741072628,-3.162211261,0.377362408,2
2.75708257,-3.165884863,0.384150743,2
2.762654697,-3.145618094,0.327957046,2
2.762990558,-3.160821076,0.373871929,2
2.7628341,-3.142878091,0.316235195,2
2.763964642,-3.221275038,0.542882253,2
2.764364096,-3.215779318,0.53213275,2
2.786226895,-3.190571522,0.467093056,2
