x,y,z
-1.869460464,-64.82746887,0.1176000088
-1.871369362,-64.82050323,0.1177099794
-1.861440539,-64.83959961,0.1173199862
-1.836526155,-64.89903259,0.1172799915
-1.801192045,-64.97505951,0.1167999953
-1.777592421,-65.02951813,0.08235000074
-1.802969456,-64.9677887,0.116569981
-1.708898664,-65.17267609,0.07542000711
-1.818709135,-64.88816071,0.1161299795
-1.710421085,-64.98770142,0.08238999546
-1.6361265180000002,-65.16529083,0.06719999015
-1.623011589,-65.17510986,0.07795999944
-1.575195193,-65.17223358,0.06876002252
-1.572150111,-65.17020416,0.07956002653
-1.5848658080000002,-65.09275818,0.08939997852
-1.6391325,-64.95397186,0.08267001807999999
-1.722020864,-64.74268341,0.117809996
-1.634165883,-64.92905426,0.08209000528
-1.671883941,-64.81316376,0.1167700142
-1.655929804,-64.84671783,0.1165399998
-1.587315559,-64.96602631,0.1152899712
-1.642904401,-64.82666016,0.1158199757
-1.603165627,-64.91542053,0.1153099984
-1.5795531269999998,-64.9565506,0.1148900241
-1.488298535,-65.17596436,0.07653997838
-1.512165904,-65.10373688,0.06604997813999999
-1.589747906,-64.90531921,0.08247999847
-1.5599569080000002,-64.87590027,0.08219997585
-1.548746109,-64.84627533,0.0817900151
-1.4104315040000002,-65.17458344,0.06767998636
-1.534042835,-64.84856415,0.08201001585
-1.396360517,-65.17272949,0.06809000671
-1.494612575,-64.83379364,0.08237998188
-1.335356832,-65.17404175,0.07534997165
-1.546367884,-64.66275024,0.1172500104
-3.018547297,-64.92170715,0.06371997297
-2.915096045,-65.170784,0.07653997838
-3.029308796,-64.89278412,0.07872997224
-3.0283763410000004,-64.89172363,0.07391999662000001
-2.94640398,-65.08675385,0.06192998961
-2.997225523,-64.94862366,0.06368999182999999
-3.030232191,-64.86812592,0.08342002332000001
-3.03419137,-64.85671234,0.0741199702
-3.0097365380000003,-64.90371704,0.06421999633
-3.031621218,-64.84386444,0.08293996751
-3.0268604760000004,-64.85002899,0.06956999004
-3.024878502,-64.8423233,0.06612001359
-3.033542395,-64.81826019,0.07359997927999999
-3.03016758,-64.81974792,0.08277998865
-3.030565977,-64.79763794,0.07574997842
-2.927204132,-65.03860474,0.07779000700000001
-3.032624245,-64.78388214,0.07314001024
-2.914111853,-65.06906891,0.06371997297
-3.030937433,-64.78562927,0.07208000124
-2.891485453,-65.11985016,0.06342999637
-3.031226158,-64.77450562,0.07305000722
-2.896132231,-65.10064697,0.06310002506
-2.962750435,-64.93952942,0.06849001347999999
-3.032886267,-64.75901794,0.07733999193
-3.012909174,-64.80268860000001,0.06954000889999999
-2.885213614,-65.10927582,0.06375996767999999
-3.031637669,-64.75084686,0.07271002232999997
-3.0205366610000004,-64.76623535,0.06661997736
-3.032066107,-64.73572539999999,0.08574996889
-3.031814098,-64.73139191,0.08579997718
-3.023617268,-64.72662354,0.06851999462
