X,Y,Z,Slice_Index_1,Slice_Index_2
-0.22005201876163485,-3.749058961868286,2.058592796325684,0.0,4.0
-0.21697397530078888,-3.7451438903808594,1.9985350370407104,0.0,4.0
-0.21616901457309728,-3.8362927436828613,2.271972179412842,0.0,4.0
-0.2128850221633911,-3.7063300609588623,1.9355461597442627,0.0,3.0
-0.2025970220565796,-3.7296500205993652,2.000487804412842,0.0,4.0
-0.11266399919986725,-3.7928199768066406,2.2128899097442627,0.0,4.0
-0.11063599586486816,-3.6523690223693848,1.793945074081421,0.0,3.0
-0.1084039956331253,-3.681288957595825,1.877441048622132,0.0,3.0
-0.10797400027513504,-3.7419321537017822,2.0654289722442627,0.0,4.0
-0.099542997777462,-3.736013889312744,2.046874761581421,0.0,4.0
-0.09758099168539047,-3.70222806930542,1.9423820972442627,0.0,3.0
