x,y,z
x,y,z
1.443753945,-2.7634598610000003,2.3052280080000003
1.4503719970000002,-2.732117991000001,2.270560117
2.1746532180000004,-2.713167987,2.224662012
2.182763183,-2.676055146,2.0850141030000002
2.1860751080000003,-2.69120801,2.1206581100000004
2.1888929500000005,-2.717057896,2.179252078
2.189992074,-2.72510897,2.203177928
2.192925876,-2.7450801100000004,2.256399966
2.196962896,-2.7377780039999995,2.212942945
2.198863058,-2.7091818989999994,2.14995498
2.2058798090000002,-2.7256639900000006,2.191947033
2.214454071,-2.7620101260000003,2.300346068
2.222094963,-2.752914043,2.277885187
2.225855951,-2.687406095,2.0947788930000004
2.233409077,-2.7323299039999998,2.220266879
2.23420102,-2.7663318180000003,2.3213419809999998
2.237964964000001,-2.73164892,2.2275919490000002
2.2386821,-2.713695039,2.174369001
2.241726861,-2.763114026,2.316459131
2.244873031,-2.749507075,2.2622600680000002
2.249772933,-2.7003679860000003,2.127493872
2.254718083,-2.7211890480000003,2.200735935
2.273711971,-2.699822971000001,2.131399924
2.274940016,-2.7591429439999997,2.295950935
2.2755839380000005,-2.6892339520000004,2.1021030530000004
2.280894932,-2.7450648760000003,2.261770987
2.282889,-2.7240951110000005,2.19683011
2.284784159,-2.730824008,2.214896085
2.286496965,-2.686974995,2.0850141030000002
2.286530162,-2.6997909120000005,2.120169938
2.2868719040000003,-2.7174810380000003,2.180227966
2.286999916,-2.7687478910000003,2.327200946
2.2944789180000003,-2.7617170419999995,2.3042518930000004
2.2964700290000004,-2.709923137,2.157767085
2.303170049,-2.726033927,2.205618785
2.3091879480000004,-2.737590194,2.242239816
2.31381,-2.69639304,2.112356924
2.317605095,-2.740674972,2.242239816
2.318935003,-2.7369701460000004,2.236869022
2.320377007,-2.6965622060000003,2.112845777
2.322336968000001,-2.72892612,2.22075596
2.332961913,-2.774437007,2.343802862
2.342188964,-2.767195838,2.314505991
2.344802851,-2.689823077,2.099662197
2.349464921,-2.7539140319999995,2.274466851
2.357103995,-2.713993808,2.171438837
2.3577970299999995,-2.6787220119999997,2.072318011
2.369873982,-2.7101489199999995,2.154838057
2.382610091,-2.75963589,2.302298981
2.390198006,-2.75122693,2.2739779980000003
2.40161603,-2.764591045,2.322318096
2.4058399500000003,-2.7725418480000004,2.333059911
2.4060059330000003,-2.517180974,1.7863289939999998
2.570938022,-2.7297530780000003,2.269096058
2.571377991,-2.719744089,2.222221156
2.5719468790000004,-2.694853038,2.160697022
2.572945959000001,-2.699779998,2.1978069069999995
2.5732510950000003,-2.7399780719999995,2.278373131
2.5807330530000003,-2.763769999,2.315481879
2.59386502,-2.7332851000000002,2.212942945
2.5979229580000003,-2.712479045,2.163139015
2.6009938669999997,-2.7130661240000005,2.169975005
2.602111181,-2.7429380219999997,2.248588089
2.609888952,-2.714456969,2.170463176
2.625876959,-2.7181381479999995,2.1772989380000003
2.6316299680000004,-2.697808895,2.1211460530000004
