x,y,z
-62.85467148,0.3545513153,0.07861666381
-62.93652344,0.5644950867,0.07841001451
-62.92340088,0.7462062836,0.07775832713
-62.89636612,0.9125061034999999,0.0775866583
-62.86261368,1.133625031,0.07731555402000001
-62.89099503,1.340646744,0.07773900032
-62.87268448,1.566848755,0.07816500962
-62.87027359,1.7607860569999998,0.07804124802
-62.80774307,1.964401245,0.07722332328999999
-62.81159592,2.173650742,0.07442499697
-62.85482025,2.3486557009999998,0.07159249485000001
-62.87632370000001,2.540355682,0.08183798194
-62.90461349,2.731948853,0.07657857984000001
-62.67338943,-3.23565197,0.11247334630000001
-62.68913651,-3.0734632019999997,0.1201714277
-62.652694700000005,-2.8969428539999997,0.1157433242
-62.64887619,-2.693389893,0.1138807684
-62.68761444,-2.4678099159999998,0.1051599979
-62.66892242,-2.287393093,0.1162454486
-62.59236145,-2.038975239,0.12363334
-62.67279053,-1.8771538730000001,0.1114630029
-62.64532089,-1.6627187730000001,0.1137391552
-62.64601898,-1.4533252719999998,0.1158536449
-62.65650558,-1.289011955,0.1261925101
-62.67655182,-1.0770435329999999,0.116832003
-62.70314026,-0.8786678314,0.1024857163
-62.66890717,-0.6550512314,0.09249111265000001
-62.68691635,-0.4686183929,0.10762111099999999
-62.67481995,-0.2048578262,0.1108490899
-62.63072205,-0.04538536072,0.1199640036
-62.6492157,0.1420612335,0.08808499574999999
-62.66980362,0.2954025269,0.09909598529
-62.66157913,0.5282154083,0.08449999988
-62.65915298,0.7648239136,0.09072569758
-62.63884354,0.9834880829000001,0.08476998657
-62.61845779,1.142709732,0.09223999828
-62.64926529,1.305416107,0.09205999225
-62.67961121,1.584674835,0.09698713571
-62.68967438,1.764293671,0.08470428734999999
-62.68485641,1.9372177119999998,0.07732500135999999
-62.67256546,2.1455783840000002,0.08019726723
-62.66474533,2.3714504240000003,0.07462799549
-62.66556931,2.538879395,0.0758478567
-62.64952469,2.7537307739999997,0.08047999442
-62.51493835,-3.255507469,0.1086059883
-62.50337601,-3.069277287,0.10761249810000001
-62.46242523,-2.890169859,0.1082744375
-62.45168686,-2.66195488,0.1163621098
-62.44999695,-2.445466042,0.11756927519999999
-62.4718895,-2.228114367,0.12368000300000001
-62.46673584,-2.044859409,0.12191937859999999
-62.47441864,-1.866646767,0.1264522076
-62.47015762,-1.651913166,0.11790999769999999
-62.49058533,-1.438838005,0.1145137548
-62.47379303,-1.230953217,0.1076687425
-62.47359085,-1.022176743,0.11571059380000001
-62.50743103,-0.8464927673,0.1062766686
-62.47727203,-0.662530899,0.1166357175
-62.4851532,-0.4424057007,0.1117571369
-62.47163773,-0.2526025772,0.1100769192
-62.47955322,-0.060319900509999996,0.1249314249
-62.47989655,0.1673126221,0.1061825007
-62.48021317,0.3728351593,0.10942249
-62.47125626,0.551115036,0.1153487489
-62.48616791,0.7527923584,0.1121784598
-62.46450424,0.9522838593,0.1044922993
-62.46465302,1.14557457,0.09630856662999998
-62.46919632,1.349374771,0.09335356206
-62.47804642,1.53922081,0.10323428359999999
-62.45063782,1.740718842,0.09416090697
-62.46810532,1.9463062290000002,0.09007099270999999
-62.43944931,2.140411377,0.1030079797
-62.50061035,2.320747375,0.08843999356
-62.49393463,2.5374641419999997,0.09456443787
-62.47859573,2.768264771,0.08367999642999999
-62.28399277,-3.2213730810000003,0.0953258276
-62.24153137,-3.0400242810000004,0.1142562479
-62.27895355,-2.857595205,0.11327538640000001
-62.28589249,-2.665919781,0.11517133560000001
-62.26573181,-2.454073429,0.1223542765
-62.30072784,-2.267498493,0.1212166697
-62.28163910000001,-2.062132835,0.11504083130000001
-62.29716492,-1.837917805,0.112911433
-62.27322006,-1.63915062,0.1170281842
-62.2936554,-1.464306831,0.1220246032
-62.27854156,-1.262859344,0.11375065890000001
-62.30443573,-1.02858448,0.1095427424
-62.28308105,-0.8367166519,0.1152592748
-62.28924179,-0.6472139359,0.10922691970000001
-62.25882339,-0.4490413666,0.1113999933
-62.27486038,-0.2507581711,0.1124870554
-62.27102661,-0.055158615109999996,0.12197110060000001
-62.27321625,0.1582317352,0.09633733332000001
-62.30462646,0.3439483643,0.10324181619999999
-62.27718735,0.5387382507,0.110006243
-62.2829628,0.7269096375,0.09571623802000001
-62.27339935,0.9304027557,0.1053129956
-62.26996994,1.1631908420000001,0.08575072140000001
-62.28308105,1.339122772,0.0971455574
-62.24806595,1.5649795530000001,0.08910000323999999
-62.26194763,1.7453613280000002,0.09454857558
-62.28518295,1.970926285,0.09163110702999999
-62.26459885,2.139465332,0.09224555641000001
-62.26786804,2.35411644,0.08283999562000001
-62.274139399999996,2.5493927000000003,0.08774999529
-62.25948334,2.756473541,0.09169570357000001
-62.07678604,-3.247145176,0.1040529907
-62.08732224,-3.0331206319999997,0.1123409048
-62.04737091,-2.828181028,0.1113921478
-62.078567500000005,-2.622352123,0.1168343723
-62.05764389,-2.419710159,0.1124566719
-62.06962204,-2.256671667,0.10981789230000001
-62.08176422,-2.0571784969999998,0.1197439954
-62.07163620000001,-1.834969997,0.1146747023
-62.08275604,-1.6106472019999998,0.1141311675
-62.08118439,-1.397344589,0.11264684050000001
-62.09237289,-1.257600784,0.110074535
