Adjusted_X,Adjusted_Y,Adjusted_Z,Slice_Index
0.23804660100000002,3.914859056,1.5733768940000001,3.0
0.24070023,3.875458956,1.4294924740000001,2.0
0.24272808399999998,3.918076992,1.5607862469999998,3.0
0.249407262,3.8521757130000003,1.365524769,2.0
0.26290679,3.86096096,1.474359274,2.0
-0.21757644399999998,4.00795269,1.840491176,3.0
-0.21362127399999997,4.1078042980000005,2.147009373,4.0
-0.21353028699999999,4.088687897,2.10259676,4.0
-0.213301837,4.049990654,1.929786086,3.0
-0.211231098,3.982720852,1.7350291009999999,3.0
-0.20902884,4.116826533999999,2.170422316,4.0
-0.209773675,3.9756507869999997,1.714036226,3.0
-0.10774025300000001,4.146051883999999,2.2623493669999997,4.0
-0.10811585900000001,4.094610691000001,2.105668545,4.0
-0.10518126900000001,4.021697044,1.886012077,3.0
-0.104220815,4.036573887,1.929938793,3.0
