PointID1,PointID2,PointID3
51734,51703,511885
51703,511884,511885
51703,51672,511884
51672,511883,511884
51672,51641,511883
51641,511882,511883
51641,51579,511882
51579,511881,511882
51579,51548,511881
51548,511880,511881
51548,51517,511880
51517,511879,511880
51517,51486,511879
51486,511878,511879
51486,51455,511878
51455,511877,511878
51455,51428,511877
51428,511876,511877
51428,51397,511876
51397,511875,511876
51397,51366,511875
51366,511874,511875
51366,51335,511874
51335,511873,511874
51335,51304,511873
51304,511872,511873
51304,51273,511872
51273,511871,511872
51273,51242,511871
51242,511870,511871
51242,51211,511870
51211,511869,511870
51211,51180,511869
51180,511868,511869
51180,51149,511868
51149,511867,511868
51149,51118,511867
51118,511866,511867
51118,5187,511866
5187,511865,511866
5187,5156,511865
5156,511864,511865
5187,5188,5156
5188,5157,5156
5188,5158,5157
5188,5189,5158
5189,5159,5158
5189,5190,5159
5190,5160,5159
5190,5191,5160
5191,5161,5160
5191,5192,5161
5192,5162,5161
5192,5193,5162
5193,5194,5162
5194,5163,5162
5194,5164,5163
5194,5195,5164
5195,5165,5164
5195,5196,5165
5196,5166,5165
5196,5197,5166
5197,5167,5166
5197,5198,5167
5198,5168,5167
5198,5199,5168
5199,5169,5168
5169,5137,5168
5169,5138,5137
5169,5170,5138
5170,5139,5138
5139,5114,5138
5139,5140,5114
5140,5115,5114
5140,5141,5115
5141,5118,5115
5141,5142,5118
5141,5172,5142
5172,5173,5142
5173,5174,5142
5174,5143,5142
5174,5175,5143
5174,51105,5175
51105,51106,5175
51106,5176,5175
51106,51107,5176
51107,51108,5176
51108,5177,5176
51108,5178,5177
51108,51109,5178
51109,5179,5178
51109,51110,5179
51110,51111,5179
51111,5180,5179
51111,51112,5180
51112,5181,5180
51112,51113,5181
51113,5182,5181
51113,5183,5182
51113,51114,5183
51114,51115,5183
51115,5184,5183
51115,51116,5184
51116,5185,5184
51116,5186,5185
51116,51117,5186
51116,51147,51117
51147,51148,51117
51147,51179,51148
51147,51178,51179
51178,51210,51179
51178,51209,51210
51209,51240,51210
51240,51241,51210
51240,51272,51241
51240,51271,51272
51271,51303,51272
51271,51302,51303
51302,51333,51303
51333,51334,51303
51333,51364,51334
51364,51365,51334
51364,51396,51365
51364,51395,51396
51364,51363,51395
51363,51394,51395
51363,51362,51394
51362,51393,51394
51362,51392,51393
51392,51423,51393
51392,51422,51423
51422,51453,51423
51422,51452,51453
51452,51480,51453
51480,51481,51453
51480,51512,51481
51512,51513,51481
51512,51543,51513
51543,51544,51513
51544,51514,51513
51544,51545,51514
51545,51546,51514
51546,51515,51514
51546,51516,51515
51546,51547,51516
51546,51577,51547
51577,51578,51547
51577,51609,51578
51577,51608,51609
51608,51671,51609
51608,51670,51671
51670,51702,51671
51670,51701,51702
51701,51733,51702
51701,51732,51733
51732,51763,51733
51763,51764,51733
51763,51795,51764
51763,51794,51795
51794,51825,51795
51825,51826,51795
51825,51856,51826
51856,51857,51826
51825,51824,51856
51824,51855,51856
51824,51823,51855
51823,51854,51855
51823,51822,51854
51822,51853,51854
51822,51852,51853
51822,51821,51852
51821,51820,51852
51820,51851,51852
51820,51819,51851
51819,51850,51851
51819,51818,51850
51818,51849,51850
51818,51848,51849
51818,51817,51848
51817,51847,51848
51847,51879,51848
51847,51878,51879
51847,51846,51878
51846,51877,51878
51846,51876,51877
51846,51845,51876
51845,51844,51876
51844,51875,51876
51844,51843,51875
51843,51874,51875
51843,51842,51874
51842,51873,51874
51842,51872,51873
51842,51841,51872
51841,51840,51872
51840,51871,51872
51840,51870,51871
51840,51839,51870
51839,51838,51870
51838,51869,51870
51838,51837,51869
51837,51868,51869
51837,51867,51868
51837,51836,51867
51836,51866,51867
51866,51897,51867
51866,51896,51897
51866,51865,51896
51865,51895,51896
51865,51894,51895
51865,51864,51894
51864,51863,51894
51863,51893,51894
51863,51911,51893
51863,51862,51911
51862,51861,51911
51861,51892,51911
51861,51910,51892
51910,51891,51892
51910,51860,51891
51860,51859,51891
51859,51890,51891
51859,51858,51890
51858,51889,51890
51859,51827,51858
51859,51828,51827
51828,51796,51827
51828,51797,51796
51797,51766,51796
51766,51765,51796
51766,51735,51765
51735,51734,51765
51735,51703,51734
51735,51704,51703
51704,51672,51703
51704,51673,51672
51673,51642,51672
51642,51641,51672
51642,51580,51641
51580,51579,51641
51580,51549,51579
51549,51548,51579
51549,51518,51548
51518,51517,51548
51518,51486,51517
51518,51487,51486
51487,51455,51486
51487,51456,51455
51456,51428,51455
51456,51429,51428
51429,51397,51428
51429,51398,51397
51398,51367,51397
51367,51366,51397
51367,51335,51366
51367,51336,51335
51336,51305,51335
51305,51304,51335
51305,51274,51304
51274,51273,51304
51274,51242,51273
51274,51243,51242
51243,51212,51242
51212,51211,51242
51212,51180,51211
51212,51181,51180
51181,51149,51180
51181,51150,51149
51150,51119,51149
