id,x,y,z
187,9.048603058,3.7430553439999996,1.04354465
188,9.040714264,3.888351679,1.4888844490000002
189,9.065372467000001,4.050122738,1.990835428
190,9.04417038,4.228456497,2.5324964519999997
191,9.063314437999999,4.374397278,2.980451345
192,9.044060707,4.554900169,3.528907537
193,9.07913208,4.6804223060000005,3.901309252
194,9.007312775,4.861281395,4.438851833
195,9.491461754,3.74679327,1.05210495
196,9.505637169,3.8763539789999997,1.450940132
197,9.511216164,4.057797432,2.008943558
198,9.492155075,4.211072445,2.477284193
199,9.510044098,4.379321575,2.994017363
1100,9.507196426,4.552009583,3.516528368
1101,9.491864204,4.6820592880000005,3.90241313
1102,9.535752296,4.86249876,4.439186573
1103,1.117150307,3.594927788,0.5954195261
1104,1.037685275,3.757987022,1.0808373690000002
1105,1.0243841409999999,3.9126954080000003,1.551844239
1106,1.027685165,4.069738865,2.031038761
1107,1.059588194,4.246589661000001,2.573078871
1108,1.02916491,4.397770882,3.04201293
1109,1.045111299,4.5585784910000005,3.538243532
1110,1.002244711,4.683858395,3.9209177489999996
1111,1.0054901840000001,4.856693745,4.44068861
1112,10.07885456,3.717463255,0.9654827118000001
1113,9.972626686,3.9302859310000002,1.612094283
1114,10.02316856,4.081673145,2.0753099919999998
1115,10.04387951,4.256862164,2.609413862
1116,10.00018597,4.423592091000001,3.118042946
1117,10.03028011,4.573171138999999,3.570026636
1118,10.03748608,4.689702034,3.9150321480000003
1119,10.00689697,4.856394291,4.423551559
1120,10.54626274,3.609193802,0.6568062901
1121,10.52748203,3.769718647,1.133311391
1122,10.52950191,3.9379024510000002,1.643289924
1123,10.55353069,4.10102272,2.136719227
1124,10.53340912,4.271057129,2.654539347
1125,10.53439426,4.415082932,3.093840599
1126,10.54056358,4.599531651,3.648017168
1127,10.51312065,4.714848518,3.9943175319999997
1128,10.48631382,4.864591122,4.444177151
1129,11.06862736,3.613547325,0.6666439176
1130,11.02375317,3.7689182760000004,1.128753066
1131,11.00264072,3.9345097539999996,1.634591699
1132,11.0088129,4.1043715480000005,2.1439695359999997
1133,11.04556179,4.265340805,2.625523806
1134,10.98719025,4.430729866,3.1339020730000002
1135,10.94552135,4.591061592,3.6166870589999998
1136,10.83928585,4.70665884,3.97701335
1137,11.12933159,4.864243984,4.428900242
1138,11.63700867,3.5179243089999996,0.3644502759
1139,11.58157349,3.659696817,0.7950768470999999
1140,11.54528904,3.8297948839999996,1.31408906
1141,11.50389862,3.9851202960000003,1.783492565
1142,11.43302536,4.151183128,2.276541471
1143,11.45925331,4.316973686,2.768816233
1144,11.52687645,4.484408855,3.281451702
1145,11.55733967,4.663632393,3.8272798060000004
1146,11.60975552,4.838628292,4.354074001
1147,11.86451244,3.534317017,0.3706078231
1148,11.94983387,3.6617727280000003,0.7587482929000001
1149,12.00506592,3.8290455339999996,1.272175908
1150,12.02235508,3.9902226919999997,1.771558046
1151,11.98936653,4.144938946,2.266199112
1152,11.92184258,4.31577158,2.7976934910000004
1153,11.96913338,4.481802463999999,3.296499491
1154,11.98016453,4.635672569,3.758647919
1155,11.98042011,4.796560764,4.2361407280000005
1156,12.01857948,4.887494564,4.53680706
1157,12.54526138,3.5113060469999997,0.3120207191
1158,12.56198311,3.66868329,0.791782558
1159,12.57086372,3.825825214,1.2692413329999999
1160,12.57783413,3.997738123,1.802961826
1161,12.55660057,4.150251865,2.271871567
1162,12.564291,4.3179464339999996,2.7847166060000004
1163,12.56528091,4.46505928,3.239730358
1164,12.57215691,4.6382341380000005,3.765449762
1165,12.53352356,4.792146683,4.248888016
1166,12.55500793,4.877036095,4.535470486
1167,13.03607368,3.5794966219999997,0.5240177511999999
1168,13.0269022,3.74941349,1.0373044009999999
1169,13.02880383,3.899083614,1.500139475
1170,13.03577518,4.06885767,2.023757935
1171,13.01478767,4.231068134,2.517174721
1172,13.01352501,4.390203953,3.01048398
1173,13.0353899,4.556199073999999,3.5215365889999997
1174,13.03148174,4.686273575,3.9143681530000003
1175,13.01289845,4.867716789,4.461798668
1176,13.51455975,3.588649035,0.5587344766
1177,13.53982258,3.759937763,1.071044683
1178,13.50108433,3.895884275,1.491895199
1179,13.543955800000003,4.069187641,2.028247833
1180,13.531225199999998,4.230483055,2.518190145
1181,13.5416832,4.390125275,3.01210928
1182,13.50957203,4.5544795989999995,3.517452717
1183,13.53630543,4.683796883,3.905202866
1184,13.57193089,4.868861675,4.466954231
1185,14.04758263,3.5822229389999998,0.538015008
1186,14.03030491,3.754406214,1.059331059
1187,14.00987816,3.90766263,1.5304309130000002
1188,14.02569294,4.073479176,2.042119026
1189,14.02271557,4.231720923999999,2.524624109
1190,14.01477337,4.396316051,3.030950785
1191,14.01311016,4.5648455619999995,3.546983719
1192,14.01698971,4.680143833,3.89612484
1193,14.01323032,4.86831522,4.459771633
1194,14.52463913,3.6194694039999997,0.6803990602
1195,14.64824295,3.785578966,1.163006902
1196,14.60137558,3.9458174710000002,1.6603360180000002
1197,14.63097954,4.111791134,2.176333189
1198,14.60864735,4.280744553,2.689866543
